Application Version SamplingRate time
tot_info 1 1 5 66
tot_info 2 1 5 179
tot_info 3 1 5 0
tot_info 4 1 5 323
tot_info 5 1 5 188
tot_info 6 1 5 353
tot_info 7 1 5 236
tot_info 8 1 5 161
tot_info 9 1 5 210
tot_info 10 1 5 88
tot_info 11 1 5 306
tot_info 12 1 5 221
tot_info 13 1 5 311
tot_info 14 1 5 0
tot_info 15 1 5 302
tot_info 16 1 5 504
tot_info 17 1 5 192
tot_info 18 1 5 409
tot_info 19 1 5 201
tot_info 20 1 5 137
tot_info 21 1 5 261
tot_info 22 1 5 74
tot_info 23 1 5 228
tcas 1 1 5 291
tcas 2 1 5 469
tcas 3 1 5 299
tcas 4 1 5 575
tcas 5 1 5 326
tcas 6 1 5 524
tcas 7 1 5 317
tcas 8 1 5 53
tcas 9 1 5 122
tcas 10 1 5 608
tcas 11 1 5 477
tcas 12 1 5 929
tcas 13 1 5 250
tcas 14 1 5 87
tcas 15 1 5 196
tcas 16 1 5 576
tcas 17 1 5 514
tcas 18 1 5 277
tcas 19 1 5 301
tcas 20 1 5 336
tcas 21 1 5 210
tcas 22 1 5 184
tcas 23 1 5 425
tcas 24 1 5 189
tcas 25 1 5 148
tcas 26 1 5 643
tcas 27 1 5 281
tcas 28 1 5 327
tcas 29 1 5 647
tcas 30 1 5 294
tcas 31 1 5 220
tcas 32 1 5 266
tcas 33 1 5 361
tcas 34 1 5 402
tcas 35 1 5 979
tcas 36 1 5 335
tcas 37 1 5 308
tcas 38 1 5 674
tcas 39 1 5 70
tcas 40 1 5 591
tcas 41 1 5 262
schedule 1 1 5 99
schedule 2 1 5 391
schedule 3 1 5 279
schedule 4 1 5 331
schedule 5 1 5 112
schedule 6 1 5 100
schedule 7 1 5 97
schedule 8 1 5 170
schedule 9 1 5 49
schedule2 1 1 5 654
schedule2 2 1 5 386
schedule2 3 1 5 245
schedule2 4 1 5 100
schedule2 5 1 5 240
schedule2 6 1 5 235
schedule2 7 1 5 314
schedule2 8 1 5 219
schedule2 9 1 5 0
schedule2 10 1 5 234
replace 1 1 5 2871
replace 2 1 5 2093
replace 3 1 5 4832
replace 4 1 5 7108
replace 5 1 5 3800
replace 6 1 5 1871
replace 7 1 5 141
replace 8 1 5 957
replace 9 1 5 1869
replace 10 1 5 1012
replace 11 1 5 875
replace 12 1 5 4537
replace 13 1 5 3235
replace 14 1 5 2382
replace 15 1 5 347
replace 16 1 5 422
replace 17 1 5 2322
replace 18 1 5 2395
replace 19 1 5 711
replace 20 1 5 1483
replace 21 1 5 562
replace 22 1 5 2414
replace 23 1 5 2393
replace 24 1 5 3428
replace 25 1 5 1342
replace 26 1 5 6412
replace 27 1 5 2460
replace 28 1 5 618
replace 29 1 5 488
replace 30 1 5 665
replace 31 1 5 5070
replace 32 1 5 0
print_tokens 1 1 5 2472
print_tokens 2 1 5 6085
print_tokens 3 1 5 4691
print_tokens 4 1 5 5834
print_tokens 5 1 5 17955
print_tokens 6 1 5 15602
print_tokens 7 1 5 6140
print_tokens2 1 1 5 1483
print_tokens2 2 1 5 1520
print_tokens2 3 1 5 583
print_tokens2 4 1 5 1499
print_tokens2 5 1 5 680
print_tokens2 6 1 5 1541
print_tokens2 7 1 5 1132
print_tokens2 8 1 5 1430
print_tokens2 9 1 5 949
print_tokens2 10 1 5 681
