Application Version SamplingRate time
tot_info 1 1 5 173
tot_info 2 1 5 9
tot_info 3 1 5 0
tot_info 4 1 5 142
tot_info 5 1 5 51
tot_info 6 1 5 96
tot_info 7 1 5 109
tot_info 8 1 5 127
tot_info 9 1 5 64
tot_info 10 1 5 16
tot_info 11 1 5 131
tot_info 12 1 5 85
tot_info 13 1 5 112
tot_info 14 1 5 0
tot_info 15 1 5 124
tot_info 16 1 5 132
tot_info 17 1 5 76
tot_info 18 1 5 127
tot_info 19 1 5 106
tot_info 20 1 5 29
tot_info 21 1 5 139
tot_info 22 1 5 11
tot_info 23 1 5 75
tcas 1 1 5 75
tcas 2 1 5 357
tcas 3 1 5 61
tcas 4 1 5 49
tcas 5 1 5 30
tcas 6 1 5 36
tcas 7 1 5 58
tcas 8 1 5 10
tcas 9 1 5 48
tcas 10 1 5 71
tcas 11 1 5 187
tcas 12 1 5 389
tcas 13 1 5 8
tcas 14 1 5 10
tcas 15 1 5 29
tcas 16 1 5 207
tcas 17 1 5 53
tcas 18 1 5 36
tcas 19 1 5 34
tcas 20 1 5 27
tcas 21 1 5 29
tcas 22 1 5 27
tcas 23 1 5 291
tcas 24 1 5 19
tcas 25 1 5 9
tcas 26 1 5 54
tcas 27 1 5 36
tcas 28 1 5 81
tcas 29 1 5 20
tcas 30 1 5 191
tcas 31 1 5 60
tcas 32 1 5 15
tcas 33 1 5 152
tcas 34 1 5 103
tcas 35 1 5 53
tcas 36 1 5 204
tcas 37 1 5 144
tcas 38 1 5 59
tcas 39 1 5 11
tcas 40 1 5 67
tcas 41 1 5 78
schedule 1 1 5 19
schedule 2 1 5 100
schedule 3 1 5 71
schedule 4 1 5 79
schedule 5 1 5 20
schedule 6 1 5 16
schedule 7 1 5 17
schedule 8 1 5 21
schedule 9 1 5 19
schedule2 1 1 5 87
schedule2 2 1 5 12
schedule2 3 1 5 9
schedule2 4 1 5 6
schedule2 5 1 5 7
schedule2 6 1 5 15
schedule2 7 1 5 39
schedule2 8 1 5 19
schedule2 9 1 5 0
schedule2 10 1 5 106
replace 1 1 5 593
replace 2 1 5 337
replace 3 1 5 1947
replace 4 1 5 664
replace 5 1 5 1823
replace 6 1 5 287
replace 7 1 5 155
replace 8 1 5 842
replace 9 1 5 69
replace 10 1 5 172
replace 11 1 5 67
replace 12 1 5 1650
replace 13 1 5 2120
replace 14 1 5 997
replace 15 1 5 108
replace 16 1 5 169
replace 17 1 5 322
replace 18 1 5 1155
replace 19 1 5 155
replace 20 1 5 309
replace 21 1 5 12
replace 22 1 5 299
replace 23 1 5 464
replace 24 1 5 1230
replace 25 1 5 19
replace 26 1 5 1269
replace 27 1 5 691
replace 28 1 5 243
replace 29 1 5 182
replace 30 1 5 312
replace 31 1 5 1178
replace 32 1 5 0
print_tokens 1 1 5 516
print_tokens 2 1 5 1164
print_tokens 3 1 5 486
print_tokens 4 1 5 887
print_tokens 5 1 5 2819
print_tokens 6 1 5 8462
print_tokens 7 1 5 2300
print_tokens2 1 1 5 209
print_tokens2 2 1 5 263
print_tokens2 3 1 5 54
print_tokens2 4 1 5 273
print_tokens2 5 1 5 90
print_tokens2 6 1 5 224
print_tokens2 7 1 5 169
print_tokens2 8 1 5 242
print_tokens2 9 1 5 86
print_tokens2 10 1 5 115
